#
#,"DISCLAIMER OF WARRANTIES: Sanvean works hard to furnish customers with"
#,"accurate information, interpretations, and other data (collectively, 'Data')"
#,"that are part of, and incident to, the services provided.  However, Sanvean"
#,"cannot and does not guarantee the accuracy of the Data. All Data provided by"
#,"Sanvean are provided 'As Is' and 'as Available' for the customer's use.  All"
#,"Data provided by Sanvean is provided without warranties of any kind, either"
#,"express or implied, including, but not limited to, implied warranties of"
#,"merchantability, fitness for a particular purpose, or non-infringement."
#,"Further, without in any way limiting the foregoing disclaimers, Sanvean"
#,"cannot and does not warrant that Data furnished by Sanvean is or will be"
#,"accurate, complete, current, or reliable, that the functions and operation of"
#,"the Data will be uninterrupted, free of error, or available at any particular"
#,"time or location, that defects in the Data will be corrected, or that the"
#,"Data or the server that makes the Data available is free of viruses or other"
#,"harmful components."
#
#,"UNDER NO CIRCUMSTANCES SHOULD ANY OF THE DATA BE RELIED UPON AS THE SOLE"
#,"BASIS FOR ANY DRILLING, COMPLETION, PRODUCTION, OR FINANCIAL DECISION OR ANY"
#,"PROCEDURE INVOLVING ANY RISK TO THE SAFETY OF ANY DRILLING VENTURE, DRILLING"
#,"RIG, OR ITS CREW OR ANY OTHER THIRD PARTY. THE CUSTOMER HAS FULL"
#,"RESPONSIBILITY FOR ALL DRILLING COMPLETION AND PRODUCTION OPERATIONS."
#,"CUSTOMER'S USE OF THE DATA IS SOLELY AT THE CUSTOMER'S OWN RISK."
#
#,"LIMITATION OF LIABILITY.  IN NO EVENT WILL SANVEAN BE LIABLE FOR FAILURE BY"
#,"ANY PERSON, INCLUDING WITHOUT LIMITATION THE CUSTOMER, TO OBTAIN ANY"
#,"PARTICULAR RESULTS OR FOR DAMAGES RESULTING FROM THE USE OF THE DATA PROVIDED"
#,"BY SANVEAN, INCLUDING WITHOUT LIMITATION, LIABILITY FOR LOST REVENUES, LOST"
#,"PROFITS, LOSS OF BUSINESS, OR ANY CONSEQUENTIAL, INCIDENTAL, INDIRECT,"
#,"EXEMPLARY, SPECIAL, OR PUNITIVE DAMAGES, LOSS OR EXPENSES OF ANY KIND,"
#,"WHETHER SUCH LIABILITY IS ASSERTED ON THE BASIS OF STATUTE, CONTRACT, TORT"
#,"(INCLUDING NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE AND WHETHER OR NOT"
#,"FORESEEABLE, EVEN IF SANVEAN HAS BEEN ADVISED OR WAS AWARE OF THE POSSIBILITY"
#,"OF SUCH LOSS OR DAMAGES, AND EVEN IF THE RESULT, LOSS, INJURY, OR DAMAGES"
#,"WERE CAUSED BY OR CONTRIBUTED TO BY THE SOLE, JOINT, ACTIVE, OR PASSIVE,"
#,"NEGLIGENCE, GROSS NEGLIGENCE, STRICT LIABILITY, OR STATUTORY STRICT LIABILITY OF SANVEAN."
#
DateTime,SN5104_GyroXmax(RPM),SN5104_GyroXmin(RPM),SN5104_GyroXmed(RPM),SN5104_GyroXspread(RPM),SN5104_StickSlip(%),SN5104_Temperature(C),SN5104_ShXpeak(g),SN5104_ShXrms(g),SN5104_ShXmax(g),SN5104_ShYpeak(g),SN5104_ShYrms(g),SN5104_ShYmax(g),SN5104_ShZpeak(g),SN5104_ShZrms(g),SN5104_ShZmax(g),Hole Depth(ft),TVD(ft),Surface_Top Drive RPM(RPM),Block Height(ft),Surface_Flow In(GPM),Torque(kft-lbf),Surface_Weight on Bit(klbs),Standpipe Pressure(psi),Differential Pressure(psi),Rate of Penetration(ft/hr),Gamma(API),Rate of Penetration SP(ft/hr)
2023/05/15 16:56:42.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:43.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:44.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:45.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:46.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:47.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:48.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:49.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:50.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:51.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:52.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:53.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:54.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:55.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:56.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:58.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:56:59.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:01.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:02.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:03.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:04.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:05.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:06.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:07.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:08.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:09.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:10.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:11.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:12.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:13.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:14.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:16.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:17.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:18.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:19.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:20.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:21.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:22.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:23.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:24.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:25.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:26.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:27.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:28.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:29.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:30.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:31.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:32.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:33.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:34.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:35.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:36.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:37.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:38.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:39.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:40.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:41.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:42.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:43.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:44.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:45.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:46.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:47.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:48.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:49.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:50.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:51.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:52.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:53.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:54.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:55.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:56.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:58.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:57:59.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:58:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:58:01.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:58:02.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/15 16:58:03.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
